0,1,2,3,4,5
"Aunt Jo's Scrap-Bag. My Boys, Etc. Volume I.","['Alcott, Louisa M.', 'Louisa M. Alcott']",USD,InStock,"Roberts,",75.0
"History of Political Parties in the State of New-York, from the Acknowledgment of the Independence of the United States to the Close of the Presidential Election in Eighteen Hundred Forty-four.","[Currier, Charles] Jenkins, John S.",USD,InStock,,145.0
Going Places.,"['[Childrens] Australia.', 'Childrens', 'Australia']",USD,InStock,"Brimax Books,",45.0
The Memorial Of Premier Tanaka Or A Japanese Secret Design For The Conquest Of China As Well As The United States And The Rest Of The World.,,USD,InStock,"World Peace Movement,",125.0
"Colorado, Some Pictures and a Few Facts.","Edson, Carroll E.",USD,InStock,,125.0
S. Hurok Presents Ballets Russes de Monte-Carlo [with] separate program for their first appearance in Philadelphia. 2 Souvenir programs.,"[Ballet] Basil, W. de; Sol Hurok.",USD,InStock,,175.0
Mr. J. J. Kelly. Australian cricketer portrait.,"[Cricket] Taylor, A. Chevallier.",USD,InStock,,175.0
"Traveler's Guide to the Hudson River, Saratoga Springs, Lake George, Falls of Niagara and Thousand Islands; Montreal, Quebec, And The Saguenay River; Also to the Green and White Mountains, and Other Parts of New England; Forming the Fashionable Northern Tour Through the United States and Canada with Map and Embellishments.","['Disturnell, John.', 'John Disturnell']",USD,InStock,"American News Company,",1250.0
"The Shasta Route - in All Its Grandeur. A Scenic Guide Book from San Francisco, California, to Portland, Oregon on a Road of a Thousand Wonders :: Along The Southern Pacific - The Road of a Thousand Wonders.",,USD,InStock,"Curt Tech & Company, Inc.,",36.0
"Communication with China and the Church in Australia and New Zealand, in Littell's Living Age, Volume IV, 1845.","[China; Antarctic; Oregon Territory] Pottinger, Sir Henry; C. Wilkes; John Dunn.",USD,InStock,,75.0
"[Western Australia] Department of General Studies, Welfare Law and Procedures. Native Welfare, Lectures 1, 2 & 3.","['McLarty, B. A.', 'B. A. McLarty']",USD,InStock,"Western Australia. Dept. of Native Welfare,",275.0
Travelers' Map of Japan. Chosen (Korea) Taiwan (Formosa).,"['Korea', '[Japan; Korea; Taiwan; Map].', 'Japan', 'Taiwan', 'Map']",USD,InStock,"Japanese Government Railways,",95.0
"The Principles and Practice of Obstetric Medicine and Surgery, in Reference to the Process of Parturition.","['Francis H. Ramsbotham', 'Ramsbotham, Francis H.']",USD,InStock,"Lea & Blanchard,",60.0
"Sculpture & Design, An Outline of Maori Art.","['G. Archey', 'Archey, G.']",USD,InStock,"Auckland War Memorial Museum,",10.0
"Australian Photo Album, with 47 Views of Victoria, New South Wales, Tasmania, ca 1880 to 1894.","['Thomas Foster Chuck J P.', 'Beattie, J.W.; J.P. (possibly John Paine), Thomas Foster Chuck, Frank Arnold Coxhead & an anonymous photographer.', 'possibly John Paine', 'Frank Arnold Coxhead', 'an anonymous photographer', 'J. W. Beattie']",USD,InStock,,10000.0
"A City is People. Una Ciudad un Pueblo. The San Juan Metropolitan Area, 1508-1975, a Basis for Planning. Una ciudad, un Pueblo, el Area Metropolitan de San Juan, 1508-1975, Fundamentos de Planificacion.",,USD,InStock,"Puerto Rico Planning Board,",175.0
Chinese Religion Seen Through the Proverb.,"['Plopper, Clifford H.', 'Clifford H. Plopper']",USD,InStock,"Shanghai Modern Publishing House,",90.0
"The Loss of the Kent, East Indiaman.","['[MacGregor, Duncan].', 'Duncan MacGregor']",USD,InStock,"General Protestant Episcopal Sunday School Union,",125.0
"Part North Island, Part South Island, New Zealand, from Dannevirke on the North Island to Port Robinson, folding map on linen.",,USD,InStock,"Marcus F. Marks, Government Printer,",95.0
"7 Views of New York including Woolworth Building from Colonnade of Municipal Building; Woolworth and Singer Towers, Broadway; Broad Street; The Public Library Fifth Avenue and Forty-Second Street; Tower of the Metropolitan Life Building; Cathedral fo St. John the Divine; Brooklyn Bridge.","[New York City; Postcards] Gillies, John Wallace.",USD,InStock,,35.0
An Empty Land. Pioneers and Pioneering in Australia.,"['Sir John Kirwan', 'Kirwan, Sir John.']",USD,InStock,"Eyre & Spottiswoode,",12.0
"\""Convicts at Swan River\""; Temple Bar, A London Magazine for Town and Country Readers. Vol XIV: April - July 1865.",[Western Australia].,USD,InStock,,95.0
Port Essington. Copies or Extracts of any Correspondence relative to the Establishment of a Settlement at Port Essington.,British Parliamentary Blue Paper.,USD,InStock,,825.0
The Strange Adventures of Captain Quinton. Being a Truthful Record of the Experiences and Escapes of Robert Quinton during his Life Among the Cannibals of the South Seas.,"['Quinton, Robert.', 'Robert Quinton']",USD,InStock,"The Christian Herald Bible House,",45.0
"Dubbo and the \""Mcquarrie (sic) River in Flood\"", with notes by W. Moseley. Christmas Card.","['New South Wales', '[New South Wales; Photography].', 'Photography']",USD,InStock,,175.0
Surgery Diploma for early Eye Surgeon.,"['Medicine', 'Surgery', '[Medicine; Surgery] Tyrrell, Frederick.']",USD,InStock,"Hardy & Son, St. Paul's Church Yard,",650.0
"\""Contributions of the South to the Greatness of the American Union\"". An Address by General Clement A. Evans of Atlanta, Georgia, Delivered Before the Association of the Army of Northern Virginia... Pamphlet.","[Civil War; Confederate] Evans, General Clement A.",USD,InStock,,75.0
"\""Abstract of the Title of the Long Island Improvement Co. Limited to a Tract of 2442 Acres of Land at Medford, L. I.\"" with Manuscript hand colored map.","[Corbin, Austin; John A. Bowman; Long Island Rail Road Company].",USD,InStock,,4500.0
"Family Crest of The Right Honourable, Francis Hastings, Earl of Huntington, Baron Hastings, Hungerford, Newmarch, Peverel, Botreux, Moulins and Moels.","['Sir William Segar', 'Hastings Family', 'Segar, Sir William and Edmondson, Joseph. [Hastings Family].', 'Joseph Edmondson']",USD,InStock,"Engraved and Printed for the Author and sold by Messrs. Fletcher and Co.,",375.0
"New Publications. The Following Valuable Works Have Been Recently Published by T. Cadell, Jun. and W. Davies, Strand, Advertising the Second Volume of Collins, \""An Account of the English Colony in New South Wales\","Cadell & Davies, publishers.",USD,InStock,,450.0
Rip Van Winkle Illustrated by F. O. C. Darley.,"['Felix O. C. Darley', 'Washington Irving', 'Darley, Felix O.C.; Washington Irving.']",USD,InStock,"The American Art Union,",75.0
European Life and Manners; in Familiar Letters to Friends.,"['Colman, Henry.', 'Henry Colman']",USD,InStock,"Charles C. Little and James Brown,",125.0
"The Scale of Medicines with Which Merchant Vessels Are to Be Furnished, the Health of Seamen.","Wells, Spencer.",USD,InStock,,45.0
View in the Island of Cracatoa.,"['Webber, John.', 'John Webber']",,,"Boydell,",
"Journal of the Royal Geographical Society Volume 27, 1857.","['David Livingstone', 'John Denis Mcdonald W. Colquhoun Grant', 'Royal Geographical Society; Livingstone, David & W. Colquhoun Grant, John Denis Mcdonald, Henry Yule.', 'Royal Geographical Society', 'Henry Yule']",USD,InStock,"John Murray,",350.0
A View in the Island of Pulo Condore.,"['Webber, John.', 'John Webber']",USD,InStock,"Boydell,",4000.0
Let Sleeping Snakes Lie. Central Enga Traditional Religious Belief and Ritual.,"['Paul W. Brennan', 'Brennan, Paul W.']",USD,InStock,"Assn. for the Study of Religions,",15.0
"A Map of the Discoveries made by Capt.'s Cook & Clerke in the Years 1778 & 1779 between the Eastern Coast of Asia and the Western Coast of North America, when they attempted to Navigate the North Sea. Also Mr. Hearn's discoveries to the North westward of Hudson's Bay, in 1772.","['James Cook', 'Mathew Carey', 'Carey, Mathew. [Cook, James].']",USD,InStock,,750.0
"A Las Baleares, Costume Tailleur, de Beer; Print from the Gazette du Bon Ton.","['Beer.', 'Beer']",USD,InStock,,125.0
Almanac for New Yorkers 1939. Compiled by the Workers of the Federal Writers' Project of the Works Progress Administration in the City of New York.,"[""New York World's Fair"", ""[New York World's Fair].""]",USD,InStock,"Modern Age Books,",75.0
Atlas of New York and Vicinity (Connecticut edition).,"['Beers, F.W.', 'F. W. Beers']",USD,InStock,"F.W. Beers,",3000.0
"Rabies. Its Place Amongst Germ-Diseases, and Its Origin in the Animal.","Sime, David, M.D.",USD,InStock,,45.0
"England versus America for the South Pole. The Illustrated London News weekly issue, Feb. 19, 1910.","Illustrated London News, Scott, Capt. R. F.",USD,InStock,,125.0
Leaves of Grass.,"['Walt Whitman', 'Whitman, Walt.']",USD,InStock,"Thayer and Eldridge; Richard Worthington pirated edition, 1880?",750.0
Queensland Geographical Journal. Queensland Geographical Journal. (New Series) 22nd Session 1906-1907.,"['J P. Thomson', 'J.P. Thomson, editor.']",USD,InStock,"Royal Geographical Society of Australia,",45.0
"A Singapore resident requesting books from Messrs. John and Edward Bumpus, London booksellers, expressing disappoint with abridged versions of \""Wide Wide World\"" and \""Queechy\","[Purcell, Victor and Norah; Susan Warner].",USD,InStock,,150.0
"History of Orange County, New York, with Illustrations and Biographical Sketches of Many of its Pioneers and Prominent Men.","Ruttenber, E. M. and Clark, L. H.",USD,InStock,,145.0
"The Builders' Portfolio. Containing One Hundred Plates, Showing Perspective Views, Elevations and Floor Plans of One Hundred and Fifteen Houses and Barns, Illustrations of Re-Modeling an Old House, Three methods of Building a Cistern and the Proper Application of Exterior Colors.","Shoppell, R. W.",USD,InStock,,475.0
"A complete collection of state-trials, and proceedings upon high-treason, and other Crimes and Misdemeanours; from the reign of King Richard II. To The End of the Reign of King George I. The Fifth Volume only. Pirate trials of Capt.s Kidd, Kirkby & Green.","(Kidd, Capt. William; Captain Richard Kirkby; Captain Thomas Green).",USD,InStock,,600.0
"Family Crest of The Most High, Puissant, and Noble Prince, Evelyn Pierrepoint, Duke of Kingston upon Hull, Marquis of Dorchester, Earl of Kingston, Viscount Newmark & Baron Pierrepoint of Holme-Pierrepoint.","['Pierrepoint Family', 'Sir William Segar', 'Segar, Sir William and Edmondson, Joseph. [Pierrepoint Family].', 'Joseph Edmondson']",USD,InStock,"Engraved and Printed for the Author and sold by Messrs. Fletcher and Co.,",375.0
The World in three Sections...the Polar Regions to the Tropics with all the Tracks of Lord Mulgrave and Captain Cook Towards the North & South Poles and the Torrid Zone or Tropical Regions with the New Discoveries in the South Seas.,"[Fielding, John].",USD,InStock,,375.0
Recent Explorations in the Southern Alps of New Zealand; A Boat Journey Round Stanley Pool; Dr. Fischer's Journey in the Masai Country; The Mountain Systems of the himalaya and Neighbouring Ranges of India.,"Green, W.S.; T.J. Comber; Lt. Col. H. Godwin-Austen.",USD,InStock,,100.0
"A Geographical Description of Australasia comprising New Holland, Van Dieman's Land, New South Wales, the Swan River Settlement, etc. Including a faithful account of the First Discoveries, being the Cheapest, Most Comprehensive and Eligible Emigrant's Guide to the New Settlement on the Swan River hitherto Published.","['S. H. Collins', 'Collins, S. H.']",USD,InStock,"Joseph Noble,",3750.0
The Adams Family.,"['Adams, James Truslow.', 'James Truslow Adams']",USD,InStock,"Little, Brown and Company,",15.0
"Ladies' Night at the Water Polo, British Columbia, Whale Hunting off Barbados, Galveston hurricane, Boer War, Siege of the Peking Legation & Mark Twain, in The Graphic, Weekly issue for October 13, 1900.",,USD,InStock,"The Graphic,",75.0
A Parliamentary Game of Shuttlecock.,"['[Ireland] [McLean, Thomas].', 'Thomas McLean', 'Ireland']",,,"T. McLean 26 Haymarket,",
"The Danube, Its History, Scenery, and Topography.","['Bartlett, W. Henry.', 'W. Henry Bartlett']",USD,InStock,"George Virtue,",250.0
"Casgliad o hymnau o'r awdwyr goreu : yn cynnwys dros ddau gant a hanner o rai newyddion ; yn ffurf corff o dduwinyddiaeth, ac ar fesurau atebol, gan mwyaf, i lyfr tonau Dr. Rippon.","['Gan J. Harris', 'Harris, Gan J.']",USD,InStock,"W.C. Rogers,",75.0
Jilji. Life in the Great Sandy Desert.,"['Lowe, Pat.', 'Pat Lowe']",USD,InStock,"Magabala Books,",30.0
"WWII Newsmap for the Armed Forces. Mindanao Philippines; Burma, France, Western Pacific, Palau Islands, and Morotai.","['Map', 'WWII', '[WWII; Map].']",,,"Army Information Branch, Army Service Forces,",
China and the Chinese: A general description of the country and its inhabitants; its civilization and form of government; its religious and social institutions; its intercourse with other nations; and its present condition and prospects.,"[China] Nevius, John L.",USD,InStock,,175.0
A History of the Civil War and Causes that lead up to the Great Conflict.,"['Lossing, Benson J.', 'Benson J. Lossing']",,,"War Memorial Association,",
"Lithographed promotional letter, signed by the The Rev William Boone, a pioneer missionary in Canton, Macau and Amoy and bishop of the American Episcopal Church in Shanghai.","[China; Missionary] Boone, William, Rev.",USD,InStock,,95.0
"Clayton and Bell Stained Glass template of Chinese [saints] for the [west] window of St. John the Evangelist, Friern Barnet.",[China; Stained Glass] Clayton and Bell.,USD,InStock,,1750.0
Greetings from 1918 Army of Occupation. “March on the Rhine”. Broadside.,"E. C. Morris, Pvt. IV Army Corps, AEF (Designer/Author).",USD,InStock,,95.0
Aboriginal Habitat and Economy. Occasional Papers No. 6.,"['Roger Lawrence', 'Lawrence, Roger.']",USD,InStock,"ANU School of General Studies,",75.0
"Putnam County NY loan Document to Lewis Ludington, brother of Sybil Ludington.","[Ludingtonville; Kent, Patterson, N.Y.] Ludington, Lewis; Daniel Kent; Walker Todd.",USD,InStock,,450.0
"Five Linen Postcards with Scenes from Hollywood, California.",,USD,InStock,"Longshaw Card Company,",20.0
"Marchant Calculating Machine Co. of Oakland, Ca. Pop Up folding advertising sheet.",,USD,InStock,"Marchant Calculating Machine Company,",95.0
"Kashmir in Sunlight and Shade: A Description of the Beauties of the Country, the Life, Habits and Humour of Its Inhabitants, and an Account of the Gradual buy Steady Rebuilding of a Once Down-Trodden People.","Biscoe, C. E. Tyndale.",USD,InStock,,45.0
Africa Illustrated.,"['Smith, Wm. R.', 'Wm. R. Smith']",USD,InStock,"A.W. Lovering,",45.0
"Uncle Sam Suffragee, Postcard.","['Women', 'Suffrage', 'Women; Suffrage.']",USD,InStock,"[Dunston-Weiler Lithograph Company],",65.0
"Winslow Homer, Frederic Church & Arthur Lumley, engravings in Harper's Weekly.","Homer, Winslow [Gloucester, Mass; Central Park NY].",USD,InStock,,125.0
The England and Ireland Rugby- Football Match at Richmond .,"['H. Burgess', 'Rugby', '[Rugby] Burgess, H.']",USD,InStock,"Illustrated London News,",325.0
"Hong Kong, Canton, Macao.",,USD,InStock,"American Express Co.,",145.0
"South Georgia, the British Empire's Subantarctic Outpost.","Matthews, Leonard H.",USD,InStock,,950.0
"Stereoscopic view, Native Women Making Rice Flour, Ceylon.","['Ceylon Stereoscopic view.', 'Ceylon Stereoscopic view']",USD,InStock,"Keystone View Company,",45.0
"The Life Of Samuel Johnson, LL.D. Comprehending An Account Of His Studies, And Numerous Works, In Chronological Order; A Series Of His Epistolary Correspondence and Conversations with Many Eminent Persons.","['James Boswell', 'Boswell, James.']",USD,InStock,"Printed For T. Cadell and W. Davies,",275.0
"THE TAI RACE. Elder Brother of the Chinese. Results of Experience, Exploration and Research.","['William Clifton Dodd', 'Dodd, William Clifton.']",USD,InStock,"The Torch Press,",145.0
Savage Life and Scenes in Australia and New Zealand. Being an artist's impression of countries & people at the Antipodes.,"['Angas, George French.', 'George French Angas']",USD,InStock,"Smith Elder,",450.0
"South Georgia, the British Empire's Subantarctic Outpost.","['Matthews, Leonard H.', 'Leonard H. Matthews']",USD,InStock,,950.0
"The Birth and Death of Pain: A Poem Read October 16th, 1896, at the Commemoration of the Fiftieth Anniversary of the First Public Demonstration of Surgical Anaesthesia.","['S. Weir Mitchell', 'Dr', 'Mitchell, S. Weir, Dr.']",USD,InStock,"Vreeland Advertising Press,",85.0
"Geography Epitomized: or, A tour round the World: being a Short but Comprehensive Description of the Terraqueous Globe; Attempted in Verse, (for the sake of the memory;) And principally designed for the Use of Schools.","['James Cook', ""Children's"", ""[Cook, James; Children's] Davidson, Robert.""]",USD,InStock,"Daniel Lawrence, and Henry Hull, and John F. Hull,",5500.0
ABC A Letter and Picture Book.,"['Childrens', '[Childrens].']",USD,InStock,"Saalfield,",125.0
"A Chinese Doorway, Chinatown, San Francisco.","['Partington, J. H. E.', 'J. H. E. Partington']",USD,InStock,"H. S. Crocker Co,",350.0
"The Story of Maryland Politics: An outline history of the big political battles of the state from 1864 to 1910, with sketches and incidents of the men and measures that figured as factors, and the names of most of those who held office in that period.","['Frank Richardson Kent', 'Kent, Frank Richardson.']",USD,InStock,"Thomas & Evans,",125.0
"The Story of Corn and Corn Flakes, 1927 rolling poster.","['Kellogg Company', 'Kellogg Company.']",USD,InStock,"Kellogg's,",225.0
"Evolution And Religion. Part I. Eight Sermons, Discussing The Bearings Of The Evolutionary Philosophy on the Fundamental Doctrines of Evangelical Christianity.","['Beecher, Henry Ward.', 'Henry Ward Beecher']",USD,InStock,"Fords, Howard, & Hulbert.",75.0
"The Works of Henry Fielding, Esq. Edited with a Biographical Essay by Leslie Stephen.","Fielding, Henry.",USD,InStock,,2000.0
"The Lost Franklin Polar Expedition in Littell's Living Age, Volume XXVII, 1850.","Franklin, Sir John; Herman Melville.",USD,InStock,,45.0
ALS signed J. Bowring.,"['[Hong Kong] Bowring, Sir John (1792-1872).', 'Hong Kong', 'Sir John Bowring']",USD,InStock,,350.0
Canadian-Australasian Royal Mail line time table via Vancouver & Union Royal Mail Line via San Francisco. 1929- 1930 Time Table of Trans Pacific Services.,[New Zealand; Australia] Union Steamship Company of New Zealand.,USD,InStock,,45.0
"The American Gazetteer, Exhibiting a Full Account of the Civil Divisions, Rivers, Harbours, Indian Tribes, &c. of the American Continent, also of the West India and Other Appendant Islands; with a particular description of Louisiana. One of the first published descriptions of Louisiana Territory.","['Jedidiah Morse', '[Louisiana Territory] Morse, Jedidiah.', 'Louisiana Territory']",USD,InStock,"Samuel Etheridge for Thomas and Andrews,",750.0
Into the Frozen South by Scout Marr of the Quest Expedition.,"['J. W. S. Marr', 'Marr, J.W.S. (Scout).', 'Scout']",USD,InStock,"Funk & Wagnall,",30.0
"W.W.I Manuscript Journal recording the exploits of H.M.S. Doris in the Dardanelles in April 1915, as recorded by H. J. Bowden, Stoker.","['W W. I.', '[W.W.I.] Bowden, H. J.', 'H. J. Bowden']",USD,InStock,,8500.0
"Tahiti Receiving the Gospel, Tahiti Without the Gospel. Two volumes.",,USD,InStock,"American Sunday School Union,",275.0
Aboriginal Evidence and Justice in North Australia.,"['A. P. Elkin', 'Elkin, A.P.']",USD,InStock,"Oceania,",55.0
"Western Australia as reported in The Annual Register, or a View of the History, Politics, and Literature, of the Year 1828.","['Capt. James Stirling', '[Western Australia] Stirling, Capt. James.', 'Western Australia']",USD,InStock,"Baldwin and Cradock,",250.0
"Les Bibelots de la Chine, Robe du soir, de Beer; Print from the Gazette du Bon Ton.","['Beer.', 'Beer']",USD,InStock,,125.0
Vernacular Albumen photographs of New York harbor landmarks.,"['Brooklyn', '[Brooklyn; Photographs].', 'Photographs']",USD,InStock,,175.0
Assimilation of our Aborigines.,,USD,InStock,"Minister for Territories,",8.0
The Principles and Practice of Obstetrics.,"['Hodge, Hugh L.', 'Hugh L. Hodge']",USD,InStock,"Blanchard & Lea,",275.0
"View of the Harbour of Taloo, in the Island of Eimeo.","['Webber, John.', 'John Webber']",USD,InStock,,7500.0
J. Irenmonger (James Iremonger).,"['Cricket', '[Cricket] Chevallier Taylor.', 'Chevallier Taylor']",,,"Spottiswoode & Co,",
Whitman. A Study.,"['Walt Whitman', 'John Burroughs', '[Poetry] Burroughs, John; Walt Whitman.', 'Poetry']",USD,InStock,"Houghton Mifflin,",20.0
Finkle & Lyon's Sewing Machine. Broadside.,"['[Sewing Machine Broadside].', 'Sewing Machine Broadside']",USD,InStock,"Waters & Tilton,",125.0
Atlas of Westchester County New York.,"['Joseph R. Bien', 'Bien, Joseph R.']",USD,InStock,"Julius Bien & Company,",1500.0
South Sea Bubbles.,"Herbert,G.R.C. and G.H. Kingsley.",USD,InStock,,125.0
Connecticut Street Car. Transportation Bulletin. 8 issues bound.,,USD,InStock,"Connecticut Valley Chapter, NRHS,",30.0
Gazetteer of Melanesia.,,USD,InStock,"Army Map Service,",15.0
"Wild Turkey, Female & Young. Meleagris Gallopavo.","['John James Audubon', '[Audubon, John James].']",USD,InStock,"Heritage Editions,",600.0
"St. Louis Alley, Chinatown, San Francisco.","['Partington, J. H. E.', 'J. H. E. Partington']",USD,InStock,"H. S. Crocker Co,",350.0
Pictorial Field Book of the Revolution; Pictorial Field Book of the War of 1812; Pictorial History of the Civil War in the United States of America.,"['Lossing, Benson J.', 'Benson J. Lossing']",USD,InStock,"George W. Childs,",1250.0
"View at Cold Spring, Hudson River.","['[Cold Spring, NY] Stereoview.', 'NY Cold Spring', 'Stereoview']",USD,InStock,"American Views, New H Series,",55.0
Gold Coast Geological Survey - Provisional Geological Map of the Gold Coast and Western Togoland with Brief Descriptive Notes Thereon.,"['Sir', 'Kitson, Albert E. (Sir).', 'Albert E. Kitson']",USD,InStock,"Sir Ranford Slater, Governor of the Gold Coast,",100.0
World At A Glance. The Personal Map.,"['[Australia] Folding map.', 'Folding map', 'Australia']",USD,InStock,"American Map Company,",95.0
American Wild Flowers in their Native Haunts.,"['artist Edwin Whitefield', 'Embury, Emma C. [Edwin Whitefield, artist].', 'Emma C. Embury']",USD,InStock,"D. Appleton & Co.,",2500.0
Art Deco hand-painted French Fashion postcards.,"['Postcards', '[Postcards].']",USD,InStock,,475.0
Atlas to Marshall's life of Washington.,"['Marshall, John.', 'John Marshall']",,,"J.Crissy,",
A Pretty Kettle of Fish! Original pencil sketch.,"[Cookery] Leech, John.",USD,InStock,,750.0
"ALS from John Burroughs to Johnson, referring to essays he is editing and \""Horse Sense\","Burroughs, John.",USD,InStock,,175.0
"Set of 4 original art postcards created by professional French artists and students at the Comite des Etudiants Americains de l’Ecole des Beaux Arts, Paris in WWI.",[Art; WWI].,USD,InStock,,275.0
"Drawing of Grapes, awarded 1st prize for the year 1829 from the French drawing school \""École Royalle et Gratuite de Dessin pour les Jeunes Personnes\",[Women; Art].,USD,InStock,,2500.0
Uncle Oojah's ABC Drawing and Painting Book.,"[""Children's"", 'Kangaroo', ""[Children's; Kangaroo] Lancaster, Flo.""]",,,"Haverstock,",
"Five Linen Postcards with Scenes from Santa Catalina Island, California.",,USD,InStock,"Longshaw Card Company,",30.0
"Plan of the Attack on Forts Clinton & Montgomery upon the Hudsons River, which were stormed by his majesties forces under the command of Sir Henry Clinton KB, on Oct. 6, 1777.","['after', 'Faden, William (after).', 'William Faden']",USD,InStock,,2750.0
"Photograph of Sir William Jenner, Bart., K.C.B., M.D., F.R.S.","['Sir William Jenner', 'Jenner, Sir William.']",USD,InStock,,175.0
"Immoment Toys, A Survey of Light Entertainment on the London Stage, 1920 - 1943.","Agate, James.",USD,InStock,,75.0
Relics of Aboriginal Occupation in the Olary District.,"['D. Mawson', 'Mawson, D.']",USD,InStock,,50.0
A Souvenir of the Golden West.,"[""The New Settlers' League"", ""The New Settlers' League.""]",USD,InStock,"New Settlers' League,",200.0
'The Wilson Atlas Pocket Edition. No Better Whiskey in the World'. Die cut advertising.,"['Advertising', '[Atlas; Advertising].', 'Atlas']",USD,InStock,"Wilson Distilling Company Inc,",125.0
'Australia. Particulars at shipping and travel agencies'. Aborigine and Kangaroo illustrated color travel poster.,"[Poster; Australia] Northfield, James.",USD,InStock,,1500.0
Little Learner's Noah's Ark Picture Book.,"['Kangaroos', '[Kangaroos; Religious Tract Society].', 'Religious Tract Society']",USD,InStock,"Religious Tract Society,",125.0
The Logic and Meaning of Anger Among Pintupi Aborigines.,"['Myers, Fred R.', 'Fred R. Myers']",USD,InStock,Man.,20.0
Chart of the Northwest Coast of America with the tracks of the King George and Queen Charlotte in 1786 & 1787. Large folding original map.,"Dixon, George.",USD,InStock,,400.0
"Journals of Expeditions of Discovery into Central Australia and Overland from Adelaide to King Georges Sound in the Years 1840-1; sent by the Colonists of South Australia, with the Sanction and Support of the Government: including an Account of the Manners and Customs of the Aborigines and the State of Their Relations with Europeans.","Eyre, Edward John.",USD,InStock,,6500.0
"The Effigies of Hippocrates of Coos, the Prince of Physicians. Woodblock portrait.","['Ambroise Pare', 'Thomas Johnson', 'Pare, Ambroise; Thomas Johnson.']",USD,InStock,"Printed by Th: Cotes and R. Young,",125.0
"Stereoscopic view, Chinese Toddler, Manchuria.","['China Stereoscopic view', 'China Stereoscopic view.']",USD,InStock,"Keystone View Company,",45.0
"ANZAC Anniversary Day. Commemorative menu and program for the First ANZAC commemoration, 25th April 1916 in London, AUTOGRAPHED by Attendees.","['W W. I.', '[W.W.I.].']",USD,InStock,,750.0
"Ngirawat, or the Sharing of Names in the Wagaitj Tribe, Northern Australia.","['A. P. Elkin', 'Elkin, A.P.']",USD,InStock,,45.0
"Waheiadooa, Chief of Oheitepeha, lying in State.","['Webber, John.', 'John Webber']",USD,InStock,"Boydell,",2500.0
"Set of 6 cards, including kangaroo and dingo.","['[Kangaroo] Liebig Advertising cards.', 'Kangaroo', 'Liebig Advertising cards']",USD,InStock,,275.0
"\""The Winning Post\"". Double Page chromolithograph.","['Lib Vanity Fair', 'Vanity Fair, Lib.']",,,"Vincent Brooks, Day & Sons Litho,",
"Manuscript letter discussing politics and job opportunities in Camden, Oachita County, Arkansas in 1860.","[Arkansas] Speck, Lawrence P.",USD,InStock,,95.0
"A group of five real photographs of a parade in London celebrating the end of W.W.I and an invitation to \""Popular Smoking concert, to members of Australian Imperial Force, Sunday 9th March, 1919...\",[W.W.I] Australian Imperial Force.,USD,InStock,,125.0
"Bordeaux Account of Port Charges, Brokerage and Disbursements for the Ship 'Fidelia' of New York, Wm. Ashley Capt., bound for New Orleans.","['Re-establishing US transatlantic trade after War of 1812', '[Re-establishing US transatlantic trade after War of 1812].']",USD,InStock,,175.0
"Salictum Woburnense: or, a Catalogue of Willows Indigenous and Foreign in the Collection of the Duke of Bedford at Woburn Abbey.","['Forbes, James.', 'James Forbes']",USD,InStock,"Privately Printed,",12000.0
